price,vehicleType,yearOfRegistration,gearbox,kilometer,monthOfRegistration,fuelType,notRepairedDamage
250,small_car,1997,manual,150000,11,petrol,yes
2799,convertible,2000,manual,150000,4,petrol,no
6500,convertible,2000,automatic,125000,5,petrol,no
7700,small_car,2010,automatic,60000,9,petrol,no
2000,small_car,2000,automatic,125000,1,petrol,no
3300,small_car,2005,manual,60000,9,petrol,no
1800,small_car,2005,manual,150000,1,petrol,no
1800,small_car,2007,manual,125000,3,petrol,no
750,small_car,1999,manual,150000,0,petrol,no
4800,small_car,2003,manual,50000,2,petrol,no
3600,small_car,2004,manual,50000,1,petrol,no
750,small_car,2000,manual,150000,2,petrol,no
649,small_car,2000,manual,150000,2,petrol,no
5650,convertible,2007,manual,70000,2,petrol,no
500,small_car,1996,manual,150000,11,petrol,no
1290,small_car,1996,manual,150000,4,petrol,no
1200,small_car,1999,manual,150000,5,petrol,no
1150,small_car,1998,manual,150000,11,petrol,no
1800,small_car,2000,manual,100000,8,petrol,no
200,small_car,1994,manual,150000,0,petrol,yes
2400,convertible,2005,manual,125000,6,petrol,yes
2550,coupe,1997,automatic,150000,12,petrol,no
3290,small_car,2009,manual,125000,3,petrol,no
450,small_car,1997,automatic,150000,11,petrol,no
2260,small_car,2002,manual,150000,11,petrol,no
7995,suv,2010,manual,60000,8,diesel,no
800,convertible,1998,manual,150000,7,petrol,yes
7990,small_car,2006,manual,150000,5,petrol,no
5800,small_car,2008,manual,125000,11,petrol,no
3000,small_car,2003,manual,150000,4,petrol,no
150,small_car,1997,manual,150000,6,petrol,yes
3800,convertible,2004,manual,150000,7,diesel,no
350,small_car,2000,manual,150000,8,petrol,no
3799,small_car,2008,manual,125000,6,petrol,no
5699,small_car,2009,manual,90000,6,petrol,no
1900,small_car,2003,manual,125000,12,petrol,no
555,small_car,1995,manual,150000,9,petrol,no
7500,small_car,2009,automatic,10000,2,petrol,no
4950,small_car,2006,manual,150000,12,petrol,no
3600,convertible,1996,manual,150000,3,petrol,no
1299,small_car,2000,manual,125000,11,petrol,no
2300,convertible,1998,manual,150000,7,petrol,no
8490,convertible,2012,manual,60000,5,petrol,no
1300,small_car,2000,automatic,150000,6,petrol,no
1100,coupe,1991,manual,125000,7,petrol,no
1290,small_car,2002,manual,125000,5,petrol,no
3449,coupe,1992,manual,50000,1,petrol,no
900,small_car,2000,manual,150000,3,petrol,yes
699,small_car,1999,manual,125000,9,petrol,no
2450,small_car,1998,manual,125000,0,petrol,no
6999,small_car,2012,manual,60000,6,petrol,no
2500,small_car,2006,manual,150000,3,petrol,no
1800,small_car,2002,manual,125000,11,petrol,no
1250,small_car,1998,manual,150000,8,petrol,no
1450,coupe,1995,manual,150000,7,petrol,no
5700,small_car,2007,manual,90000,5,petrol,no
8995,small_car,2012,manual,40000,12,petrol,no
5999,small_car,2010,automatic,50000,2,petrol,no
3300,small_car,2006,automatic,100000,6,petrol,no
249,small_car,1998,manual,150000,8,petrol,no
699,suv,2001,manual,150000,6,diesel,no
7000,suv,2008,manual,150000,8,diesel,yes
650,small_car,2000,manual,150000,5,petrol,no
3999,small_car,2005,manual,125000,5,petrol,no
2222,coupe,1995,manual,150000,8,petrol,no
2900,small_car,2006,manual,150000,3,petrol,no
950,small_car,2001,manual,125000,2,petrol,no
3300,coupe,2003,manual,90000,3,petrol,no
2950,convertible,1998,manual,150000,6,petrol,no
1800,small_car,1995,manual,150000,0,petrol,no
2950,small_car,2008,manual,100000,7,petrol,no
2990,coupe,2000,manual,150000,6,petrol,no
6990,coupe,2002,automatic,150000,10,petrol,no
2400,small_car,2003,automatic,90000,1,diesel,no
9790,small_car,2012,manual,70000,1,petrol,no
6199,suv,1993,manual,150000,8,petrol,no
5890,convertible,2006,manual,150000,6,diesel,no
685,small_car,1995,manual,150000,8,petrol,no
9999,convertible,2008,manual,70000,1,petrol,no
3500,convertible,2001,manual,150000,12,petrol,yes
580,small_car,1999,manual,150000,10,petrol,no
1150,small_car,2000,manual,150000,6,petrol,no
1150,small_car,2002,manual,150000,2,petrol,no
3200,small_car,2005,manual,150000,10,petrol,no
5000,small_car,1996,manual,20000,8,petrol,no
600,small_car,1997,manual,150000,6,petrol,yes
219,small_car,1992,automatic,150000,6,petrol,yes
650,small_car,1999,manual,150000,0,petrol,no
1900,small_car,1999,manual,150000,9,petrol,no
1790,small_car,2001,manual,125000,1,petrol,no
6900,small_car,2007,automatic,150000,3,diesel,no
200,small_car,1995,manual,150000,9,petrol,yes
2900,convertible,2004,manual,150000,8,diesel,no
850,small_car,2001,manual,5000,9,petrol,no
199,small_car,2001,manual,90000,6,petrol,yes
999,small_car,1999,manual,150000,4,petrol,no
800,small_car,1994,manual,30000,12,petrol,no
8880,coupe,2008,manual,150000,11,petrol,no
7777,suv,2006,manual,150000,4,diesel,no
2200,small_car,2000,manual,150000,0,petrol,no
2600,small_car,2005,manual,150000,12,petrol,no
3500,coupe,2001,automatic,150000,5,petrol,no
1599,small_car,1999,manual,100000,5,petrol,no
6800,convertible,1990,manual,150000,4,petrol,no
2200,small_car,2005,manual,150000,4,petrol,no
1999,small_car,2005,manual,150000,5,petrol,no
4600,coupe,2002,manual,150000,4,petrol,no
3950,convertible,2004,manual,100000,3,petrol,no
3300,small_car,2007,manual,125000,6,petrol,no
650,coupe,1997,automatic,150000,4,petrol,yes
1750,small_car,1997,manual,80000,8,petrol,no
8500,convertible,2011,manual,30000,9,petrol,no
3850,small_car,2010,manual,125000,3,petrol,no
1850,suv,1993,manual,125000,12,petrol,no
2300,small_car,1999,automatic,90000,3,petrol,no
6800,coupe,2000,manual,125000,2,petrol,no
1999,small_car,2003,manual,150000,10,petrol,no
8500,small_car,2008,manual,90000,6,petrol,no
4500,small_car,2009,manual,150000,5,petrol,no
6900,convertible,2000,automatic,150000,8,petrol,no
1350,small_car,2005,manual,150000,6,petrol,yes
450,coupe,1997,automatic,150000,4,petrol,yes
6750,coupe,2006,manual,90000,9,petrol,no
2200,small_car,2003,manual,150000,2,petrol,no
1300,small_car,1997,manual,150000,6,petrol,no
2200,small_car,2006,manual,100000,1,petrol,no
550,small_car,1995,manual,150000,12,petrol,no
9999,small_car,2005,manual,150000,10,petrol,no
3000,coupe,1999,manual,150000,5,petrol,no
1250,small_car,2003,manual,150000,5,petrol,no
6500,suv,2000,automatic,150000,9,petrol,no
4800,convertible,2002,manual,150000,3,petrol,no
6950,convertible,2002,manual,100000,6,petrol,no
200,small_car,1996,manual,150000,3,petrol,yes
1299,small_car,1995,manual,50000,9,petrol,no
1950,small_car,2000,manual,60000,8,petrol,no
1990,small_car,2004,manual,150000,10,petrol,no
2400,coupe,1998,automatic,150000,3,petrol,no
2999,small_car,2005,manual,150000,1,diesel,no
2600,coupe,2002,manual,150000,3,petrol,no
3200,small_car,2008,manual,90000,5,petrol,no
650,small_car,1995,manual,100000,10,petrol,no
1450,small_car,1999,manual,150000,12,petrol,no
5800,suv,2004,automatic,125000,9,diesel,no
8990,small_car,2014,manual,10000,4,petrol,no
1400,small_car,1998,manual,150000,0,petrol,no
7450,small_car,2009,manual,125000,9,diesel,yes
1850,convertible,1997,automatic,90000,2,petrol,no
1250,coupe,1998,manual,150000,2,petrol,no
999,small_car,1997,manual,125000,5,petrol,no
9950,coupe,1994,automatic,150000,5,petrol,no
850,small_car,2003,manual,150000,4,petrol,no
2750,small_car,2005,automatic,100000,4,petrol,no
1450,small_car,2003,manual,150000,9,petrol,no
2200,coupe,1994,manual,150000,6,petrol,no
4250,coupe,1999,manual,150000,7,petrol,yes
800,small_car,2005,manual,125000,4,petrol,yes
3200,convertible,1994,manual,150000,0,petrol,no
1650,small_car,2005,manual,150000,5,petrol,no
950,small_car,1997,manual,150000,7,petrol,no
500,small_car,2001,manual,150000,9,petrol,yes
5350,small_car,2009,manual,60000,1,petrol,no
5950,suv,2006,manual,150000,6,diesel,no
1899,small_car,1999,manual,150000,2,petrol,no
450,small_car,1999,manual,150000,10,petrol,no
1200,small_car,2000,manual,125000,4,petrol,no
2990,small_car,2008,manual,125000,4,petrol,no
3100,small_car,2005,manual,125000,7,diesel,no
1000,small_car,1997,manual,125000,9,petrol,no
8250,small_car,2009,manual,70000,6,petrol,no
6799,small_car,2010,manual,100000,3,petrol,no
4400,small_car,2006,manual,90000,11,petrol,yes
1800,small_car,2002,manual,150000,5,petrol,no
500,coupe,1997,automatic,150000,6,petrol,no
2900,suv,2003,manual,150000,10,diesel,no
700,coupe,1999,automatic,150000,3,petrol,no
3600,small_car,2006,manual,150000,2,diesel,no
1500,convertible,1997,manual,150000,5,petrol,no
3000,small_car,2011,manual,70000,7,petrol,no
850,small_car,1994,manual,100000,12,petrol,no
8000,small_car,2010,manual,40000,10,petrol,no
400,small_car,1997,manual,150000,3,petrol,yes
2199,coupe,1999,automatic,150000,12,petrol,no
4550,small_car,2006,manual,80000,9,petrol,no
7500,convertible,2009,automatic,60000,9,petrol,no
899,small_car,2001,manual,150000,7,petrol,no
9490,suv,2011,manual,100000,2,diesel,no
3999,small_car,2005,manual,40000,12,petrol,no
6900,convertible,2008,manual,125000,6,diesel,no
800,small_car,1999,manual,150000,10,petrol,no
550,small_car,1997,manual,150000,6,petrol,no
1249,small_car,2004,manual,150000,11,petrol,yes
9300,small_car,2014,manual,20000,2,petrol,no
1850,coupe,1997,manual,150000,7,petrol,no
9110,convertible,2010,manual,125000,10,diesel,no
3699,small_car,2008,manual,150000,3,diesel,no
2990,small_car,2002,manual,150000,10,petrol,no
750,small_car,1992,automatic,125000,9,petrol,no
4350,small_car,2006,manual,150000,2,diesel,no
4950,convertible,2003,manual,150000,6,petrol,no
1050,small_car,2001,manual,150000,12,petrol,no
4200,small_car,2009,manual,70000,10,petrol,no
2200,coupe,2001,automatic,150000,12,diesel,yes
1250,small_car,2001,manual,150000,10,petrol,no
1850,suv,1998,manual,125000,3,petrol,yes
2900,convertible,2001,manual,150000,4,diesel,no
1400,small_car,2000,manual,150000,5,diesel,yes
250,small_car,1995,manual,100000,4,petrol,no
1150,small_car,2001,manual,150000,4,diesel,no
6900,small_car,2009,manual,150000,4,petrol,no
9900,coupe,2008,automatic,150000,9,diesel,no
1200,small_car,1992,manual,100000,6,petrol,no
1650,small_car,1998,manual,150000,9,petrol,yes
